Entity,Code,Year,Total alcohol consumption per capita,"GDP per capita, PPP",Population
Heavily indebted poor countries (HIPC),,2015.0,4.0276476247964,2390.34647060241,
High income,,2015.0,9.7649192043837,47302.856059263,
Honduras,HND,2015.0,3.49,5283.41691357908,9112904.0
Hungary,HUN,2015.0,11.6,27499.3244662857,9777925.0
IBRD only,,2015.0,6.13515037011165,11695.2724360905,
IDA & IBRD total,,2015.0,5.61451586287871,9672.45221610323,
IDA blend,,2015.0,4.58995037582147,4744.85507724962,
IDA only,,2015.0,3.10121132153311,2988.54956681384,
IDA total,,2015.0,3.60675178629109,3582.91793379288,
Iceland,ISL,2015.0,8.74,52142.9328074888,330237.0
India,IND,2015.0,5.54,5464.39405731664,1310152392.0
Indonesia,IDN,2015.0,0.6,10149.6038700252,258383257.0
Iran,IRN,2015.0,1.01,12698.1091975659,78492208.0
Iraq,IRQ,2015.0,0.37,10122.2007755733,35572269.0
Ireland,IRL,2015.0,12.47,72251.1535363159,4652420.0
Israel,ISR,2015.0,3.86,37554.5986562961,7978496.0
Italy,ITA,2015.0,7.59,40247.8290437942,60578489.0
Jamaica,JAM,2015.0,4.19,9473.10619523862,2891024.0
Japan,JPN,2015.0,7.87,39777.5310167672,127985139.0
Jordan,JOR,2015.0,0.69,10145.8366996846,9266573.0
Kazakhstan,KAZ,2015.0,4.66,24290.4176339265,17572010.0
Kenya,KEN,2015.0,2.77,3824.75930317654,47878339.0
Kiribati,KIR,2015.0,0.52,2168.99773241889,110927.0
Kuwait,KWT,2015.0,0.003,54834.3916726177,3835588.0
Kyrgyzstan,KGZ,2015.0,7.59,4805.14109238388,5959126.0
Laos,LAO,2015.0,10.05,6543.67068865935,6741160.0
Late-demographic dividend,,2015.0,7.43519403108725,14837.7627757009,
Latin America & Caribbean,,2015.0,6.61893740371351,16277.3089322588,
Latin America & Caribbean (IDA & IBRD),,2015.0,6.63876376196831,16220.8712911274,
Latin America & Caribbean (excluding high income),,2015.0,6.51564151497634,15412.4193933465,
Latvia,LVA,2015.0,12.64,26621.2722286526,1997675.0
Least developed countries: UN classification,,2015.0,3.24596376990244,2766.22428886347,
Lebanon,LBN,2015.0,1.65,16299.2077629854,6532681.0
Lesotho,LSO,2015.0,4.8,2701.42185521194,2059011.0
Liberia,LBR,2015.0,5.7,1580.47922766632,4472229.0
Libya,LBY,2015.0,0.029,11022.4292135086,6418315.0
Lithuania,LTU,2015.0,15.38,30748.1963109529,2931872.0
Low & middle income,,2015.0,5.54028194088404,9356.22807974141,
Lower middle income,,2015.0,4.42985421282881,6185.11597458068,
Luxembourg,LUX,2015.0,13.18,110446.086101647,566741.0
Madagascar,MDG,2015.0,1.88,1546.76704618335,24234080.0
Malawi,MWI,2015.0,3.62,1432.08525892858,16745305.0
Malaysia,MYS,2015.0,0.85,24787.8237457166,30270965.0
Maldives,MDV,2015.0,2.07,17284.6478941089,454914.0
Mali,MLI,2015.0,1.25,2139.73629713506,17438772.0
Malta,MLT,2015.0,7.56,39845.1145672313,433559.0
Mauritania,MRT,2015.0,0.033,5127.43228246614,4046304.0
Mauritius,MUS,2015.0,3.94,19897.4753965644,1259457.0
Mexico,MEX,2015.0,4.92,19268.9143963283,121858251.0
Micronesia (country),FSM,2015.0,2.44,3448.30369231563,108886.0
Middle East & North Africa,,2015.0,0.807447692007538,16034.7000953948,
Middle East & North Africa (IDA & IBRD),,2015.0,0.685778618090883,10247.2143709572,
Middle East & North Africa (excluding high income),,2015.0,0.685778618090883,10198.1464695087,
Middle income,,2015.0,5.73398316767136,10120.1649533809,
Moldova,MDA,2015.0,11.87,10360.8295911083,4070705.0
Mongolia,MNG,2015.0,10.97,11022.9785342491,2998433.0
Montenegro,MNE,2015.0,10.92,18263.6006034136,626957.0
Morocco,MAR,2015.0,0.7,7126.67058575575,34663608.0
Mozambique,MOZ,2015.0,2.19,1262.61312778202,27042001.0
Myanmar,MMR,2015.0,4.41,4268.5006767951,52680724.0
Namibia,NAM,2015.0,5.23,10662.8299304666,2314901.0
Nauru,NRU,2015.0,3.71,13551.9625979464,10374.0
Nepal,NPL,2015.0,2.05,3331.87176945857,27015033.0
Netherlands,NLD,2015.0,9.55,52974.1162200949,16938492.0
New Zealand,NZL,2015.0,10.44,41086.1153021682,4614527.0
Nicaragua,NIC,2015.0,5.03,5630.40573760444,6223234.0
Niger,NER,2015.0,0.55,1132.33120491778,20001663.0
Nigeria,NGA,2015.0,10.81,5514.77027265177,181137454.0
North America,,2015.0,9.72246847841029,57440.3995911981,568911289.0
North Macedonia,MKD,2015.0,5.93,15072.9475418471,2079335.0
Norway,NOR,2015.0,7.52,62987.5358625454,5199827.0
OECD members,,2015.0,9.19302284576773,41948.0976915714,
Oman,OMN,2015.0,0.77,30146.9560518823,4267341.0
Other small states,,2015.0,5.43812458310988,22734.9385315771,
Pacific island small states,,2015.0,2.39863964526109,6931.63295882588,
Pakistan,PAK,2015.0,0.29,4278.34666284049,199426953.0
Panama,PAN,2015.0,7.71,28431.0824221868,3968490.0
Papua New Guinea,PNG,2015.0,1.39,4083.75243695251,8107772.0
Paraguay,PRY,2015.0,7.26,11828.1401290455,6688746.0
Peru,PER,2015.0,6.63,12110.2668971421,30470739.0
Philippines,PHL,2015.0,6.7,7300.13621040525,102113206.0
Poland,POL,2015.0,11.63,27797.0584233597,38034076.0
Portugal,PRT,2015.0,11.88,31118.7906703279,10368346.0
Post-demographic dividend,,2015.0,10.1289048425001,45915.0531793586,
Pre-demographic dividend,,2015.0,5.5823001157998,3566.72427653534,
Qatar,QAT,2015.0,1.62,95965.2512366176,2565708.0
Romania,ROU,2015.0,11.64,23878.1885373067,19925182.0
Russia,RUS,2015.0,12.47,25488.0961196394,144985059.0
Rwanda,RWA,2015.0,9.26,1889.15810576486,11369066.0
Saint Kitts and Nevis,KNA,2015.0,8.88,25569.4841249091,51204.0
Saint Lucia,LCA,2015.0,9.96,14029.5909199045,179131.0
Saint Vincent and the Grenadines,VCT,2015.0,8.46,11973.4193690941,109135.0
Samoa,WSM,2015.0,2.59,5992.43932095216,193510.0
Sao Tome and Principe,STP,2015.0,7.19,3794.35859507025,199439.0
Saudi Arabia,SAU,2015.0,0.2,48921.2152517247,31717676.0
Senegal,SEN,2015.0,0.73,2966.45534736483,14578450.0
Serbia,SRB,2015.0,8.7,15578.2028500791,8876777.0
Seychelles,SYC,2015.0,18.35,25500.4865590545,94981.0
Sierra Leone,SLE,2015.0,5.63,1551.82309051333,7171909.0
Singapore,SGP,2015.0,2.07,89519.7357100565,5592143.0
Slovakia,SVK,2015.0,11.53,28676.2656111842,5435614.0
Slovenia,SVN,2015.0,12.74,33805.030045384,2071199.0
Small states,,2015.0,5.35666170412646,20526.2759121508,
Solomon Islands,SLB,2015.0,1.55,2518.64747830047,603133.0
Somalia,SOM,2015.0,0.013,879.276531935612,13797204.0
South Africa,ZAF,2015.0,9.61,12840.0354033768,55386369.0
South Asia,,2015.0,4.34331839778631,5153.89274563627,
South Asia (IDA & IBRD),,2015.0,4.34331839778631,5153.89274563627,
South Korea,KOR,2015.0,10.04,38828.7409976118,50823087.0
Spain,ESP,2015.0,11.32,37377.068016704,46671919.0
Sri Lanka,LKA,2015.0,4.1,11890.5165276211,20908024.0
Sub-Saharan Africa,,2015.0,5.87112630062417,3818.14015757417,
Sub-Saharan Africa (IDA & IBRD),,2015.0,5.87112630062417,3818.14015757417,
Sub-Saharan Africa (excluding high income),,2015.0,5.86952709554098,3816.11403980831,
Sudan,SDN,2015.0,0.52,4187.86272224264,38902948.0
Suriname,SUR,2015.0,5.81,19317.0545070113,559136.0
Sweden,SWE,2015.0,9.13,50928.962975552,9764949.0
Switzerland,CHE,2015.0,11.58,68025.9200383988,8296775.0
Tajikistan,TJK,2015.0,3.11,2984.49491330069,8454019.0
Tanzania,TZA,2015.0,11.05,2354.13898543629,51482638.0
Thailand,THA,2015.0,8.36,16285.3865749723,68714519.0
Timor,TLS,2015.0,2.01,3297.88916309166,1196294.0
Togo,TGO,2015.0,2.37,1920.46930701736,7323162.0
Tonga,TON,2015.0,0.68,5944.4526863595,100780.0
Trinidad and Tobago,TTO,2015.0,6.88,29053.3347831462,1370332.0
Tunisia,TUN,2015.0,1.99,10510.3303060416,11179951.0
Turkey,TUR,2015.0,2.12,25958.6407622392,78529413.0
Turkmenistan,TKM,2015.0,5.3,12993.5318096291,5565283.0
Tuvalu,TUV,2015.0,1.98,3720.30531533443,11099.0
Uganda,UGA,2015.0,15.14,2054.09044873783,38225447.0
Ukraine,UKR,2015.0,10.16,11237.0744571217,44921636.0
United Arab Emirates,ARE,2015.0,3.79,65218.8204340815,9262896.0
United Kingdom,GBR,2015.0,11.21,44840.7826443684,65860149.0
United States,USA,2015.0,9.82,58540.2960929977,320878312.0
Upper middle income,,2015.0,7.17935412257323,15128.8694155229,
Uruguay,URY,2015.0,6.99,22425.8300844671,3412013.0
Uzbekistan,UZB,2015.0,2.59,6086.71574219326,30929556.0
Vanuatu,VUT,2015.0,2.14,2915.70045998521,271128.0
Vietnam,VNM,2015.0,7.86,6438.25985369358,92677082.0
World,OWID_WRL,2015.0,6.29785904438514,15509.996466722,7380117870.0
Zambia,ZMB,2015.0,6.89,3443.55325404862,15879370.0
Zimbabwe,ZWE,2015.0,4.92,3198.982128793,13814642.0
